#,Best fitness,Average fitness,Worst fitness,Respawn,Finish,Distance,Time,Speed
203,1395.329,731.4608,6.162261,10,False,1066.712,32.46055,73.50852
204,1395.329,770.7089,41.51476,10,False,1066.712,32.46055,73.50852
205,1395.329,750.4836,51.11129,10,False,1066.712,32.46055,73.50852
206,1395.329,739.8594,41.12318,10,False,1066.712,32.46055,73.50852
207,1409.479,783.1465,172.5356,10,False,1066.712,31.12052,76.67375
208,1409.479,720.9562,25.99688,10,False,1066.712,31.12052,76.67375
209,1409.479,672.1969,35.52222,10,False,1066.712,31.12052,76.67375
210,1409.479,692.5033,27.93257,10,False,1066.712,31.12052,76.67375
211,1409.479,891.7183,693.9936,10,False,1066.712,31.12052,76.67375
212,1409.479,801.6659,55.93264,10,False,1066.712,31.12052,76.67375
213,1409.479,755.2383,123.8533,10,False,1066.712,31.12052,76.67375
214,1409.479,866.3711,596.5619,10,False,1066.712,31.12052,76.67375
215,1409.479,878.1039,700.8772,10,False,1066.712,31.12052,76.67375
216,1409.479,696.3817,58.32727,10,False,1066.712,31.12052,76.67375
217,1409.479,809.0378,10.66644,10,False,1066.712,31.12052,76.67375
218,1409.479,764.7824,231.7192,10,False,1066.712,31.12052,76.67375
219,1409.479,724.6959,186.0336,10,False,1066.712,31.12052,76.67375
220,1409.479,692.755,0,10,False,1066.712,31.12052,76.67375
221,1409.479,635.5887,48.85914,10,False,1066.712,31.12052,76.67375
222,1409.479,824.354,689.8121,10,False,1066.712,31.12052,76.67375
223,1409.479,704.8678,186.9767,10,False,1066.712,31.12052,76.67375
224,1409.479,821.8149,613.0289,10,False,1066.712,31.12052,76.67375
225,1409.479,667.0858,48.85914,10,False,1066.712,31.12052,76.67375
226,1409.479,844.3732,691.3365,10,False,1066.712,31.12052,76.67375
227,1409.479,765.822,128.8997,10,False,1066.712,31.12052,76.67375
228,1409.479,642.1582,73.17308,10,False,1066.712,31.12052,76.67375
229,1409.479,608.2208,126.1136,10,False,1066.712,31.12052,76.67375
230,1409.479,690.7688,41.12318,10,False,1066.712,31.12052,76.67375
231,1409.479,755.0514,53.76181,10,False,1066.712,31.12052,76.67375
232,1409.479,832.4667,629.2526,10,False,1066.712,31.12052,76.67375
233,1409.479,651.8505,51.59175,10,False,1066.712,31.12052,76.67375
234,1409.479,811.7839,374.5202,10,False,1066.712,31.12052,76.67375
235,1409.479,704.3937,48.43657,10,False,1066.712,31.12052,76.67375
236,1409.479,729.682,138.8804,10,False,1066.712,31.12052,76.67375
237,1409.479,648.6429,119.8289,10,False,1066.712,31.12052,76.67375
238,1409.479,774.5658,404.1788,10,False,1066.712,31.12052,76.67375
239,1409.479,775.0041,299.9754,10,False,1066.712,31.12052,76.67375
